subset0
8_16_02 , 9
3_29_10 , 9
8_5_04 , 10
8_31_00 , 15
6_26_18 , 14
5_26_14 , 14
2_23_18 , 8
7_20_08 , 12
7_10_16 , 15
4_25_14 , 9
1_11_16 , 7
5_21_02 , 13
1_29_16 , 7
5_27_22 , 13
8_16_06 , 10
4_22_18 , 11
2_24_00 , 9
3_26_14 , 11
7_11_02 , 15
7_1_06 , 11
8_30_06 , 16
5_18_14 , 11
1_15_20 , 6
6_26_16 , 15
2_13_08 , 11
8_24_02 , 11
1_29_04 , 8
7_17_14 , 12
3_6_18 , 11
1_15_18 , 7
3_22_10 , 8
5_23_16 , 14
8_12_16 , 8
5_30_18 , 18
8_13_00 , 9
4_15_14 , 13
6_2_20 , 10
7_27_08 , 13
3_18_00 , 13
8_31_14 , 11
2_8_04 , 13
8_26_06 , 14
3_22_14 , 9
1_13_00 , 8
5_14_18 , 14
2_18_16 , 10
3_29_12 , 10
4_27_18 , 14
7_17_00 , 13
1_18_14 , 7
4_11_04 , 10
5_15_14 , 17
1_23_16 , 8
3_20_18 , 11
7_7_20 , 6
1_19_02 , 8
6_15_18 , 13
4_5_14 , 16
6_8_08 , 12
8_30_16 , 17
6_11_02 , 18
5_16_16 , 15
7_2_08 , 11
1_8_06 , 10
4_23_18 , 10
5_31_14 , 19
7_31_00 , 12
1_17_16 , 7
1_24_22 , 9
4_26_22 , 9
2_28_00 , 8
3_23_20 , 10
4_8_18 , 16
8_29_20 , 14
2_3_18 , 10
2_21_12 , 7
4_9_22 , 15
4_18_02 , 14
4_21_22 , 12
3_2_22 , 9
3_1_10 , 11
5_30_20 , 20
5_24_02 , 15
1_27_00 , 8
3_11_00 , 11
Subset1
3_6_16 , 1
2_5_02 , 2
2_28_10 , 3
7_29_22 , 2
6_26_04 , 3
8_27_22 , 3
7_18_02 , 4
1_20_06 , 4
3_25_10 , 3
6_28_04 , 5
6_22_20 , 4
3_18_12 , 4
2_9_08 , 5
5_4_12 , 5
4_7_06 , 6
6_31_14 , 6
5_23_06 , 7
5_1_10 , 8
4_23_22 , 7
5_6_14 , 6
5_28_00 , 8
6_9_04 , 7
7_19_12 , 5
6_31_10 , 7
4_23_16 , 8
1_9_14 , 5
3_14_16 , 6
6_19_20 , 7
6_17_16 , 8
8_10_14 , 4
2_6_22 , 6
2_17_22 , 6
4_9_08 , 9
7_6_16 , 5
7_13_18 , 8
4_21_14 , 9
8_8_18 , 4
4_13_20 , 10
4_15_22 , 11
7_13_02 , 9
6_18_06 , 9
5_24_12 , 9
3_10_14 , 7
6_23_18 , 5
3_19_00 , 5
6_29_18 , 8
3_8_12 , 11
8_29_16 , 5
3_11_00 , 8
8_28_16 , 6
7_16_00 , 9
2_29_10 , 4
5_1_00 , 10
6_25_02 , 6
1_29_00 , 6
5_26_04 , 10
4_16_16 , 12
7_23_12 , 6
6_18_18 , 10
4_13_08 , 12
3_7_06 , 12
3_15_04 , 7
3_11_04 , 9
1_16_20 , 5
6_7_06 , 8
4_19_04 , 13
5_6_00 , 7
7_17_02 , 10
3_17_10 , 8
8_25_22 , 5
7_26_10 , 7
7_10_14 , 10
5_23_04 , 9
6_30_18 , 9
4_1_20 , 14
7_31_00 , 6
8_31_04 , 6
7_30_22 , 7
8_31_22 , 7
1_27_00 , 7
6_2_20 , 10
5_5_06 , 8
8_4_22 , 8
1_24_12 , 8
2_11_04 , 7
6_14_10 , 9
3_26_22 , 4
2_26_12 , 7
1_4_04 , 7
4_2_12 , 8
7_5_12 , 7
6_20_12 , 8
3_7_22 , 13
8_11_14 , 6
3_18_04 , 9
3_25_00 , 6
1_11_14 , 6
4_3_18 , 9
8_19_22 , 7
8_13_10 , 8
1_30_08 , 8
4_15_12 , 12
5_11_12 , 11
2_26_20 , 8
2_20_22 , 8
1_18_00 , 6
1_2_02 , 9
1_9_02 , 8
3_30_16 , 5
6_16_06 , 10
2_19_16 , 9
3_5_22 , 6
4_5_18 , 10
5_4_14 , 9
1_19_10 , 7
7_1_18 , 7
1_23_10 , 9
3_4_10 , 7
3_16_22 , 9
4_11_06 , 13
7_6_00 , 8
2_8_08 , 7
6_26_06 , 6
2_27_10 , 9
8_20_06 , 8
3_7_08 , 14
4_29_02 , 9
1_31_00 , 9
5_22_10 , 10
7_19_22 , 8
1_25_16 , 9
7_15_20 , 10
3_14_10 , 10
7_5_14 , 9
1_25_10 , 10
4_27_08 , 10
7_13_08 , 10
6_11_02 , 10
5_20_00 , 11
1_14_22 , 7
1_26_08 , 10
1_7_02 , 9
7_6_02 , 9
3_4_20 , 8
4_2_08 , 10
5_3_02 , 9
6_27_16 , 7
5_22_00 , 12
5_17_02 , 12
2_31_14 , 5
4_9_20 , 12
1_8_12 , 10
8_14_14 , 9
