1_24_18 , 6
3_9_02 , 10
2_18_06 , 12
6_28_08 , 7
3_8_22 , 11
2_7_06 , 10
8_18_04 , 6
6_17_06 , 14
7_20_06 , 10
4_11_04 , 12
5_18_10 , 9
4_9_06 , 11
7_12_10 , 8
4_1_20 , 14
6_2_06 , 7
5_31_14 , 10
4_23_04 , 12
5_1_04 , 8
8_25_04 , 8
5_8_06 , 12
5_20_02 , 9
1_21_02 , 6
8_18_10 , 7
1_21_08 , 7
3_8_16 , 12
7_13_18 , 9
2_11_00 , 9
7_15_22 , 11
7_6_08 , 6
6_23_18 , 14
5_7_04 , 11
6_7_02 , 8
7_15_14 , 12
3_4_02 , 10
4_12_22 , 11
7_12_22 , 9
5_8_12 , 13
1_13_08 , 8
4_28_04 , 10
5_27_14 , 11
6_24_06 , 9
8_7_20 , 10
8_8_14 , 8
2_29_08 , 5
3_12_12 , 8
5_2_08 , 11
2_15_16 , 12
8_17_12 , 7
3_27_06 , 11
8_24_20 , 9
8_29_18 , 4
8_3_12 , 10
6_7_08 , 9
4_26_00 , 12
7_24_14 , 3
8_17_10 , 8
7_27_18 , 7
8_27_02 , 8
4_23_14 , 13
1_24_20 , 7
2_7_08 , 11
2_22_18 , 11
3_4_08 , 11
3_25_00 , 12
7_12_14 , 9
5_20_12 , 10
5_22_20 , 11
2_5_18 , 11
5_31_00 , 12
5_27_16 , 12
7_15_00 , 13
6_15_08 , 13
3_4_06 , 12
2_23_10 , 12
4_19_00 , 12
1_22_20 , 8
1_8_10 , 9
7_6_18 , 7
8_6_06 , 10
2_25_16 , 7
2_22_22 , 13
2_16_04 , 12
5_17_06 , 9
8_17_08 , 9
4_22_12 , 13
2_30_12 , 8
7_29_04 , 8
6_27_20 , 5
1_10_14 , 6
2_17_02 , 13
3_1_06 , 13
1_25_16 , 9
2_29_14 , 6
5_12_22 , 10
4_8_12 , 12
3_28_00 , 12
3_19_04 , 12
1_24_04 , 7
7_21_20 , 11
4_16_14 , 13
5_2_10 , 13
3_11_22 , 9
1_24_12 , 8
6_13_04 , 12
5_14_08 , 11
2_24_00 , 8
7_13_22 , 10
4_20_22 , 14
3_27_00 , 12
7_19_12 , 10
2_31_02 , 7
2_1_10 , 10
6_19_18 , 15
5_30_02 , 14
7_18_02 , 11
3_21_00 , 14
2_28_06 , 7
6_14_00 , 14
1_6_20 , 8
2_19_04 , 13
2_30_04 , 9
2_12_18 , 10
4_15_08 , 14
3_19_08 , 13
6_2_02 , 8
6_14_04 , 15
4_22_22 , 14
1_14_10 , 8
6_3_00 , 9
2_14_10 , 13
1_9_08 , 10
1_28_10 , 9
5_18_18 , 10
4_23_02 , 15
6_18_22 , 16
1_26_20 , 9
4_14_02 , 12
7_26_04 , 8
6_15_20 , 15
4_13_18 , 10
5_28_04 , 13
8_26_02 , 8
3_9_00 , 12
2_4_20 , 9
6_23_12 , 15
8_15_04 , 7
8_24_08 , 10
3_27_12 , 12
3_23_22 , 15
6_22_04 , 16
2_19_16 , 12
1_3_22 , 11
5_25_20 , 11
3_9_20 , 11
8_20_02 , 6
3_20_02 , 15
8_4_18 , 11
1_4_14 , 12
8_23_12 , 11
7_10_04 , 7
8_21_10 , 7
4_23_16 , 14
2_4_02 , 10
8_2_18 , 5
7_27_04 , 8
2_21_14 , 13
3_29_12 , 13
6_25_14 , 8
2_3_18 , 8
7_14_22 , 14
4_23_12 , 14
8_15_22 , 8
1_4_20 , 13
8_20_00 , 7
4_18_14 , 14
5_28_22 , 10
7_1_06 , 11
3_4_20 , 12
2_13_14 , 11
8_21_20 , 8
5_21_12 , 12
5_6_02 , 12
3_31_18 , 11
3_28_04 , 13
2_22_06 , 12
1_16_16 , 6
6_6_10 , 8
1_1_16 , 7
5_25_10 , 12
2_6_00 , 12
6_2_16 , 8
3_16_08 , 12
1_31_06 , 11
7_25_04 , 4
4_21_10 , 15
8_29_20 , 6
7_22_12 , 9
1_7_12 , 9
8_16_12 , 10
1_3_20 , 12
7_9_12 , 5
1_30_14 , 10
2_31_12 , 9
5_11_14 , 12
4_5_10 , 11
3_19_06 , 14
8_28_10 , 6
4_16_08 , 15
8_23_02 , 6
6_7_00 , 9
3_29_18 , 14
6_21_14 , 17
2_4_12 , 11
2_22_20 , 14
6_29_18 , 9
5_27_04 , 12
8_22_10 , 6
8_5_02 , 12
2_7_22 , 11
5_29_08 , 12
1_17_14 , 7
2_18_22 , 14
3_8_00 , 13
8_15_08 , 9
8_7_06 , 11
1_14_04 , 9
4_22_10 , 14
8_14_08 , 8
5_31_20 , 11
5_28_00 , 14
5_17_12 , 9
2_28_12 , 6
5_14_18 , 9
3_10_16 , 10
8_1_10 , 8
2_12_20 , 12
8_14_20 , 9
1_5_02 , 9
6_8_06 , 8
3_17_20 , 12
4_18_16 , 15
8_30_08 , 8
1_12_00 , 7
5_15_16 , 10
8_9_08 , 8
4_27_02 , 11
4_3_14 , 12
4_17_02 , 15
3_24_20 , 16
3_21_20 , 16
1_30_10 , 11
6_28_14 , 8
2_8_16 , 10
1_21_16 , 9
3_7_22 , 14
4_26_14 , 13
2_22_02 , 13
1_23_20 , 6
6_28_10 , 9
6_8_02 , 9
3_20_00 , 16
3_17_22 , 13
1_4_00 , 13
2_11_10 , 11
6_4_12 , 8
8_1_08 , 9
7_22_18 , 10
8_6_08 , 12
6_1_08 , 18
5_1_06 , 10
5_12_20 , 11
7_20_16 , 12
1_23_08 , 7
5_15_20 , 11
3_20_20 , 16
4_7_00 , 13
3_26_04 , 9
4_23_08 , 15
2_7_04 , 13
1_4_12 , 14
8_7_02 , 13
3_31_04 , 15
5_21_10 , 13
5_22_06 , 13
8_13_12 , 8
5_23_04 , 11
7_8_22 , 6
5_9_10 , 13
7_30_12 , 9
3_23_02 , 17
7_31_00 , 10
1_13_00 , 9
5_13_20 , 12
5_24_16 , 11
6_19_10 , 17
4_1_12 , 13
5_26_02 , 13
1_10_02 , 7
4_2_20 , 10
4_24_08 , 15
8_28_18 , 7
4_29_10 , 11
2_13_04 , 13
1_7_08 , 10
5_30_16 , 15
7_7_02 , 8
5_2_16 , 15
5_9_12 , 14
4_14_10 , 13
6_26_00 , 9
